id,name,twolettercode,threelettercode,designator,alliance,aviation,sea,land,rail,validfrom,validto
271,Atyrau Air Ways,IP,JOL,,,t,f,f,f,2020-06-02 00:00:00+00,
272,Aurigny Air Services,GR,AUR,,,t,f,f,f,2020-06-02 00:00:00+00,
273,Aus-Air,NO,AUS,,,t,f,f,f,2020-06-02 00:00:00+00,
274,Avensa,VE,AVE,,,t,f,f,f,2020-06-02 00:00:00+00,
275,Avialeasing Aviation Company,EC,TWN,,,t,f,f,f,2020-06-02 00:00:00+00,
276,Aviodetachment-28,,BGF,,,t,f,f,f,2020-06-02 00:00:00+00,
277,Aviogenex,JJ,AGX,,,t,f,f,f,2020-06-02 00:00:00+00,
278,Avion Express,X9,NVD,,,t,f,f,f,2020-06-02 00:00:00+00,
279,Avolar Aerolneas,V5,VLI,,,t,f,f,f,2020-06-02 00:00:00+00,
280,Azerbaijan Airlines,J2,AHY,,,t,f,f,f,2020-06-02 00:00:00+00,
281,BA CityFlyer,CJ,CFE,,,t,f,f,f,2020-06-02 00:00:00+00,
282,BAE Systems,,BAE,,,t,f,f,f,2020-06-02 00:00:00+00,
283,Balkan Bulgarian Airlines,LZ,,,,t,f,f,f,2020-06-02 00:00:00+00,
284,Beijing Capital Airlines,JD,CBJ,,,t,f,f,f,2020-06-02 00:00:00+00,
285,Belavia Belarusian Airlines,B2,BRU,,,t,f,f,f,2020-06-02 00:00:00+00,
286,Belle Air,,LBY,,,t,f,f,f,2020-06-02 00:00:00+00,
287,BH Air,8H,BGH,,,t,f,f,f,2020-06-02 00:00:00+00,
288,Biman Bangladesh Airlines,BG,BBC,,,t,f,f,f,2020-06-02 00:00:00+00,
289,Blue Air,0B,BLA,,,t,f,f,f,2020-06-02 00:00:00+00,
290,Blue Panorama Airlines,BV,BPA,,,t,f,f,f,2020-06-02 00:00:00+00,
291,BMI,BD,BMA,,,t,f,f,f,2020-06-02 00:00:00+00,
292,Bmibaby,WW,BMI,,,t,f,f,f,2020-06-02 00:00:00+00,
293,Borajet,YB,BRJ,,,t,f,f,f,2020-06-02 00:00:00+00,
294,Boston-Maine Airways,E9,CXS,,,t,f,f,f,2020-06-02 00:00:00+00,
295,Bravo Airways,,BAY,,,t,f,f,f,2020-06-02 00:00:00+00,
296,Brit Air,DB,BZH,,,t,f,f,f,2020-06-02 00:00:00+00,
297,Brussels International Airlines,SN,BXI,,,t,f,f,f,2020-06-02 00:00:00+00,
298,Buffalo Airways,J4,BFL,,,t,f,f,f,2020-06-02 00:00:00+00,
299,Buffalo Express Airlines,,BRX,,,t,f,f,f,2020-06-02 00:00:00+00,
300,Caribbean Airlines,BW,BWA,,,t,f,f,f,2020-06-02 00:00:00+00,
301,Caribbean Star Airlines,8B,GFI,,,t,f,f,f,2020-06-02 00:00:00+00,
302,Carpatair,V3,KRP,,,t,f,f,f,2020-06-02 00:00:00+00,
303,Centre-Avia,J7,CVC,,,t,f,f,f,2020-06-02 00:00:00+00,
304,China Northwest Airlines,WH,CNW,,,t,f,f,f,2020-06-02 00:00:00+00,
305,CityJet,WX,BCY,,,t,f,f,f,2020-06-02 00:00:00+00,
306,Clickair,XG,CLI,,,t,f,f,f,2020-06-02 00:00:00+00,
307,Cobalt,,FCB,,,t,f,f,f,2020-06-02 00:00:00+00,
308,Commandement Du Transport Aerien Militaire Francais,,CTM,,,t,f,f,f,2020-06-02 00:00:00+00,
309,Condor Flugdienst,DE,CFG,,,t,f,f,f,2020-06-02 00:00:00+00,
310,Continental Airlines,CO,COA,,,t,f,f,f,2020-06-02 00:00:00+00,
311,Corendon Airlines,XC,CAI,,,t,f,f,f,2020-06-02 00:00:00+00,
312,Corendon Dutch Airlines,CD,CND,,,t,f,f,f,2020-06-02 00:00:00+00,
313,Corsairfly,SS,CRL,,,t,f,f,f,2020-06-02 00:00:00+00,
314,Costa Rica Green Airways,GW,,,,t,f,f,f,2020-06-02 00:00:00+00,
315,Crossair Europe,QE,ECC,,,t,f,f,f,2020-06-02 00:00:00+00,
316,Cubana de Aviacin,CU,CUB,,,t,f,f,f,2020-06-02 00:00:00+00,
317,DAS Air Cargo,WD,DSR,,,t,f,f,f,2020-06-02 00:00:00+00,
318,DAT Danish Air Transport,DX,DTR,,,t,f,f,f,2020-06-02 00:00:00+00,
319,Dba,DI,BAG,,,t,f,f,f,2020-06-02 00:00:00+00,
320,Denim Air,J7,DNM,,,t,f,f,f,2020-06-02 00:00:00+00,
321,Dominair,YU,ADM,,,t,f,f,f,2020-06-02 00:00:00+00,
